"customer_id","first_name","last_name","email","payment_count","total_revenue"
148,"Eleanor","Hunt","eleanor.hunt@sakilacustomer.org","45","211.55"
526,"Karl","Seal","karl.seal@sakilacustomer.org","42","208.58"
178,"Marion","Snyder","marion.snyder@sakilacustomer.org","39","194.61"
137,"Rhonda","Kennedy","rhonda.kennedy@sakilacustomer.org","38","191.62"
144,"Clara","Shaw","clara.shaw@sakilacustomer.org","40","189.60"
459,"Tommy","Collazo","tommy.collazo@sakilacustomer.org","37","183.63"
181,"Ana","Bradley","ana.bradley@sakilacustomer.org","33","167.67"
410,"Curtis","Irby","curtis.irby@sakilacustomer.org","38","167.62"
236,"Marcia","Dean","marcia.dean@sakilacustomer.org","39","166.61"
403,"Mike","Way","mike.way@sakilacustomer.org","33","162.67"
